,week,spa_spend,sb_spend,sd_spend,google_youtube_spend,bing_spend,google_without_youtube_spend,fb-ig_spend,twitter_spend,tiktok_spend,dsp_spend,fincast_spend,spa_impressions,sb_impressions,sd_impressions,bing_impressions,google_youtube_impressions,google_without_youtube_impressions,fb-ig_impressions,twitter_impressions,tiktok_impressions,dsp_impressions,fincast_impressions,amazon_search_volume,google_search_index,promotion,amz_rev,dtc_rev,total_rev
0,2022-01-30,44500.83,22092.41,4325.97,546.55,390.7,25800.72,9335.77,183.4,101.73,29566.39,0,11441540,2444760,1056869,28376,41358,3132193,1658126,40886,14162,9834227,0,1456556,28,0,22764474.49,1042806.989,23807281.47
1,2022-02-06,300932.28,132668.51,27551.13,4115.99,5065.29,159940.42,159392.67,1632.57,8270.79,231531.67,0,71744667,14923588,6563727,203898,452463,18067295,28969258,348946,3548276,71773358,0,1396513,27,0,23909852.83,1351286.956,25261139.78
2,2022-02-13,299640.63,132830.79,28865.27,5331.71,11850.41,177476.92,100332.69,1266.96,1434.69,247200.01,0,68830377,15734131,6584477,228967,1018559,18371944,13685909,908252,567185,69646630,0,1048628,28,0,22833307.51,1211303.043,24044610.55
3,2022-02-20,340155.14,138830.46,27529.79,5482.39,29439.62,179264.01,139309.98,1735.97,4982.65,274998.07,0,73342081,15370903,6043160,391381,2634762,24811670,19467919,940166,2045875,81645148,0,2061349,28,0,24631016.6,1235169.52,25866186.12
4,2022-02-27,347251.27,118396.05,28671.44,5628.6,7119.19,178286.14,128927.27,1959.42,3901.78,272186.71,0,78473619,14156476,6226234,318498,519239,17624477,19098382,396808,2609092,70084421,0,1334648,28,0,25888827.01,1102512.734,26991339.74
5,2022-03-06,324079.05,110624.24,28157.53,3123.12,21234.49,158709.25,140573.99,2346.55,2918.32,280198.74,0,75216092,13746103,6457846,152538,3996136,16314776,17077874,572748,3554705,60291852,0,1331260,29,0,24001130.15,1140847.503,25141977.65
6,2022-03-13,324388.97,116996.69,32085.22,5170.62,433548.23,207363.79,163979.34,2668.74,3301.87,318389.37,0,75666703,14733474,7242671,224869,46517020,21154248,17550010,626756,2138226,64993459,0,1303060,28,0,24293600.18,1191980.345,25485580.53
7,2022-03-20,315123.01,117528.64,30848.88,6175.11,92160.09,192683.52,202973.61,3500.29,3757.78,305389.75,0,74733802,12307156,6563122,294812,9386002,15260738,21722675,472512,2891511,57538337,0,1365334,29,0,26259324.24,1269015.481,27528339.72
8,2022-03-27,300881.03,110653.35,29375.75,7601.45,21092.11,193573.38,215089.51,6262.43,2101.79,275226.15,0,74792271,11668569,6599521,469305,2226165,15053953,22910284,911567,727553,52427661,0,2023247,29,0,26414677,1180327.157,27595004.16
9,2022-04-03,302789.57,113887.36,28661.75,6200.19,28831.7,179038.65,161971.15,6170.65,6224.97,184512.44,0,74865473,10842157,6215436,301546,3594489,9650671,13547987,901148,3106918,37350671,0,1451382,29,0,24030553.26,1096172.915,25126726.18
10,2022-04-10,307025.53,120039.23,28885.31,5500.18,19563.33,185882.36,148329.36,10420.05,1470.46,230580.66,0,71691641,12414718,5897171,256719,2563663,9529127,13573415,1470526,2034944,43497753,0,1449533,30,0,22029596.22,1114859.579,23144455.8
11,2022-04-17,296005.75,127033.16,30041.29,6460.46,11665.29,150441.41,142311.95,12994.4,2399.27,207836.87,0,75462973,12814979,6026892,368608,1051692,10203434,14049389,2461405,2141011,40718636,0,2058130,28,0,22805479.24,1141705.643,23947184.88
12,2022-04-24,288331.45,118670.74,32776.66,8191.06,8820.08,138676.69,190812.29,13894.4,3211.22,260068.7,0,72525880,12126850,5885305,379123,1122838,8022525,15297889,3458021,2086801,50234514,0,2224407,29,0,24341816.17,1221151.271,25562967.44
