week,SPA_spend,SB_spend,SD_spend,bing_spend,youtube_spend,pmax_spend,shopping_spend,search_spend,display_spend,demandgen_spend,fb-ig_spend,tiktok_spend,dsp_spend,SPA_impression,SB_impression,SD_impression,bing_impression,youtube_impression,pmax_impression,shopping_impression,search_impression,display_impression,demandgen_impression,fb-ig_impression,tiktok_impression,dsp_impression,amz_rev,dtc_rev,total_rev,google_trend
2023-12-31,30461.94,4524.18,1528.23,0.0,0.0,10118.15,0.0,10672.72,0.0,0.0,66760.18,0.0,0.0,3422889.95,216600,111940,0,0,873187,0,128014,0,0,11735521,0,0,348860.62,445907.61,794768.23,10
2024-01-07,39129.5,4621.36,1540.79,0.0,0.0,21984.93,0.0,12909.24,0.0,8687.79,55667.08,0.0,0.0,3856700.02,314825,124254,0,0,1270410,0,83718,0,2404845,6807752,0,0,668708.8,698804.86,1367513.66,24
2024-01-14,31115.52,5642.58,1489.67,0.0,0.0,28092.65,0.0,10578.63,0.0,3720.11,54767.94,0.0,24944.5,3482734.75,277068,107178,0,0,1765041,0,71827,0,469570,7724615,0,4925757,710061.1633,624086.09,1334147.253,18
2024-01-21,24198.6,6624.47,1530.76,0.0,0.0,21954.11,0.0,9088.3,0.0,1902.53,46505.15,0.0,28556.27,2640724.95,364417,122090,0,0,1305896,0,63848,0,295627,5975044,0,7429250,504982.61,345920.98,850903.59,17
2024-01-28,20567.76,5836.14,1392.88,0.0,0.0,26704.15,0.0,8395.57,0.0,969.85,39251.28,0.0,17250.94,2348877.02,300099,108267,0,0,1710433,0,58946,0,109233,4386991,0,6325542,507094.45,462314.47,969408.92,13
2024-02-04,28324.93,5916.23,1491.47,0.0,0.0,35344.39,0.0,11551.06,0.0,1700.38,34578.25,0.0,29357.51,3159637.01,301964,90707,0,0,2259282,0,87214,0,384250,3153619,0,8003585,726696.415,551559.18,1278255.595,14
2024-02-11,25950.29,5693.87,1518.7,0.0,0.0,39692.6,0.0,13737.84,0.0,1570.55,35195.61,0.0,30173.02,2873024.76,313027,82036,0,0,2419933,0,76804,0,745873,3433387,0,8463105,577927.2966,666915.99,1244843.287,14
2024-02-18,23802.59,6155.55,1466.97,0.0,0.0,59198.23,0.0,21344.35,0.0,1567.75,37168.3,8153.84,13117.11,2509686.87,323313,120538,0,0,3758960,0,91231,0,357970,3806132,1027030,4655871,807582.4633,612414.02,1419996.483,20
2024-02-25,16588.62,5530.6,1386.57,0.0,0.0,44322.35,0.0,20996.64,0.0,1647.91,110652.35,1836.37,4281.85,1737088.98,306980,99013,0,0,3171054,0,90564,0,520482,10948085,216481,2124241,542452.6975,538698.9,1081151.598,19
2024-03-03,16554.96,5034.55,1368.1,0.0,0.0,26214.24,0.0,29080.01,0.0,1608.63,117266.04,0.0,9814.74,2140289.88,283842,77620,0,0,1741792,0,118461,0,492863,13419634,0,3584138,492993.015,514912.43,1007905.445,18
2024-03-10,34956.19,5343.65,2103.33,0.0,0.0,33194.94,184.73,31807.07,0.0,3248.49,106290.16,2030.51,47992.55,3144790.96,315011,89947,0,0,2033739,9380,122150,0,1048811,15061081,65970,14429476,745502.885,655856.5,1401359.385,19
2024-03-17,35491.24,6308.76,1534.07,0.0,0.0,56310.24,180.66,23388.44,0.0,5412.37,74427.13,2298.52,53070.98,4074574.12,398004,99885,0,0,4058086,5918,97906,0,1389095,8512847,71226,14647878,738194.095,783377.74,1521571.835,21
2024-03-24,46083.36,6728.12,1601.01,0.0,0.0,78745.39,61.21,41039.09,0.0,4017.29,63332.62,13631.19,57777.58,5384000.92,426199,95012,0,0,6031786,4225,155979,0,1847134,6586276,829798,13620301,1221460.03,1256344.94,2477804.97,38
2024-03-31,28184.45,6642.5,1433.92,0.0,0.0,15884.77,35.74,15162.4,0.0,0.0,17515.79,10688.78,21671.22,3226731.04,398116,115855,0,0,1223371,11418,53696,0,0,1459983,480007,6789905,632002.92,582782.7,1214785.62,24
2024-04-07,34719.5,8248.5,1581.11,0.0,0.0,24295.65,8.25,10810.12,0.0,4649.79,20182.77,7540.63,24657.94,3397111.02,344024,116385,0,0,1575461,4283,48584,0,243350,1769095,472422,4158561,742422.23,480957.76,1223379.99,16
2024-04-14,27311.98,8420.14,1433.25,0.0,0.0,25639.6,390.9,19974.67,0.0,9057.61,62761.99,1415.65,30408.77,2780043.04,467178,124507,0,0,1891879,25241,83225,0,2115453,8241142,57713,4723932,657006.72,644585.3,1301592.02,20
2024-04-21,42414.78,8849.25,1536.43,0.0,0.0,46315.73,77.94,37137.1,0.0,16933.89,127992.8,22.37,66742.33,4894033.78,552633,114909,0,0,3890136,5558,135065,0,3787516,15724976,629,10507776,833666.39,887910.56,1721576.95,62
2024-04-28,25412.1,7631.93,1170.04,0.0,0.0,14079.24,0.0,25538.03,0.0,4759.76,31797.36,841.67,29872.39,1850737.04,540363,87226,0,0,1148864,0,88452,0,768632,3764104,22296,4499619,493622.0,440180.58,933802.58,37
2024-05-05,29543.41,8618.35,1276.73,0.0,347.08,29735.97,0.0,20854.75,0.0,8766.54,49322.02,4514.83,25205.19,2325634.99,512527,93341,0,26155,2226865,0,92603,0,633873,5471907,172582,2573548,635099.64,729559.76,1364659.4,24
2024-05-12,38950.88,8670.54,1736.83,0.0,1912.49,29044.05,0.0,20039.47,0.0,7570.58,48206.41,17913.13,34852.27,3712014.03,571136,106953,0,95178,2279707,0,99600,0,1084793,5345476,804858,2992988,747192.43,867548.78,1614741.21,32
2024-05-19,36914.77,8508.43,1235.48,0.0,568.41,39466.18,4810.88,23793.58,0.0,14285.2,68592.74,12218.61,49112.12,3393278.99,520995,74196,0,26554,3505336,292200,111017,0,2469706,6686384,385965,4526466,808794.11,991578.09,1800372.2,38
2024-05-26,45231.4,8358.22,1245.19,417.41,0.0,22937.82,3499.8,22727.03,0.0,10036.97,50134.69,12916.68,52786.68,3175752.88,438781,76667,101898,0,2132121,230423,105768,0,1717268,5496786,458448,6626685,1132288.83,1377888.8,2510177.63,41
2024-06-02,39733.8,7550.23,885.87,832.14,0.0,22217.89,2031.86,26471.9,0.0,13306.25,54418.99,46.08,36337.9,2434677.87,336901,63050,68852,0,1826579,111725,118820,0,2819773,5718531,1402,5847104,884057.69,737927.58,1621985.27,36
2024-06-09,51667.59,7808.29,999.49,302.23,0.0,32981.63,5005.99,32850.56,0.0,21401.45,94422.49,0.0,44763.65,3796069.93,347653,61657,33307,0,2251411,297664,139871,0,5289668,10702108,0,6314354,1111234.68,1206074.45,2317309.13,44
2024-06-16,58555.74,7112.7,983.08,229.64,0.0,18607.04,1279.91,26886.15,1188.11,12001.54,53786.71,0.0,31344.61,4593554.04,427114,82208,30428,0,1617094,81059,126903,269325,2589660,6255552,0,4950180,883688.31,1143242.49,2026930.8,41
2024-06-23,62670.73,8163.15,867.27,677.77,0.0,16045.11,0.0,21461.56,0.0,4899.8,31989.52,0.0,25948.89,4318597.11,465348,56003,59258,0,1532360,0,116703,0,786795,2949890,0,3807789,934418.86,664102.95,1598521.81,33
2024-06-30,61001.84,7846.37,918.89,2500.45,0.0,20408.83,0.0,12010.81,0.0,0.0,82069.35,0.0,71141.96,3448749.09,442172,57427,377654,0,1601045,0,43821,0,0,5632311,0,9998214,759855.27,901009.91,1660865.18,34
2024-07-07,68463.58,8738.29,1075.2,1507.25,0.0,77315.23,933.56,43501.54,0.0,12997.95,154701.39,0.0,112871.29,4110026.16,636508,62801,426360,0,6350854,72941,110764,0,2455639,13484008,0,12216366,1138854.83,2268633.95,3407488.78,61
2024-07-14,327325.58,32250.47,2273.02,4032.24,0.0,197924.52,800.33,80026.97,4281.95,17304.9,219415.54,0.0,96111.78,22372409.95,2369753,102201,987510,0,13274808,94759,161387,742315,2948078,15796771,0,6746173,9355815.46,4376556.5,13732371.96,86
2024-07-21,45111.42,3677.97,626.35,2108.93,0.0,36740.75,625.4,14102.9,15.58,782.85,18254.94,0.0,832.0,3051539.01,350465,54395,461004,0,2893157,73752,48821,1257,318455,1193412,0,715799,532804.75,485109.15,1017913.9,35
2024-07-28,43790.5,5086.79,1007.54,2484.37,0.0,41675.04,0.0,18549.15,13.95,7380.61,28969.32,0.0,15095.67,1806789.0,354604,140832,741546,0,3617782,0,306987,3674,1809359,2623335,0,3320752,818709.29,1047453.66,1866162.95,28
2024-08-04,44937.01,12070.82,1741.32,2397.34,0.0,39665.07,0.0,21957.05,0.0,10110.98,74447.67,0.0,56427.68,3407957.97,918978,410888,859043,0,3234874,0,324769,0,2134614,5354328,0,7004703,1039408.98,645442.21,1684851.19,34
