week,spa,sb,sd,google_youtube,bing,google_without_youtube,others,fb-ig,twitter,tiktok,dsp,fincast,promotion
2025/1/5,154281.6022,69224.56744,40358.58555,0,4961.04007,11985.98847,0,24268.80831,5693.916626,37753.28515,50023.08617,0,0
2025/1/12,154281.6022,69224.56744,40358.58555,0,4961.04007,11985.98847,0,24268.80831,5693.916626,37753.28515,50023.08617,0,0
2025/1/19,154281.6022,69224.56744,40358.58555,0,4961.04007,11985.98847,0,24268.80831,5693.916626,37753.28515,50023.08617,0,0
2025/1/26,154281.6022,69224.56744,40358.58555,0,4961.04007,11985.98847,0,24268.80831,5693.916626,37753.28515,50023.08617,0,0
2025/2/2,154281.6022,69224.56744,40358.58555,0,4749.931981,11475.94641,0,23236.12661,5451.743698,36146.76238,47894.64349,0,0
2025/2/9,154281.6022,69224.56744,40358.58555,0,4749.931981,11475.94641,0,23236.12661,5451.743698,36146.76238,47894.64349,0,0
2025/2/16,154281.6022,69224.56744,40358.58555,0,4749.931981,11475.94641,0,23236.12661,5451.743698,36146.76238,47894.64349,0,0
2025/2/23,154281.6022,69224.56744,40358.58555,0,4749.931981,11475.94641,0,23236.12661,5451.743698,36146.76238,47894.64349,0,0
2025/3/2,123425.2818,55379.65396,32286.86844,0,3867.500173,9343.970596,0,18919.35943,4438.991729,29431.49718,38996.90728,0,0
2025/3/9,123425.2818,55379.65396,32286.86844,0,3867.500173,9343.970596,0,18919.35943,4438.991729,29431.49718,38996.90728,0,0
2025/3/16,123425.2818,55379.65396,32286.86844,0,3867.500173,9343.970596,0,18919.35943,4438.991729,29431.49718,38996.90728,0,0
2025/3/23,123425.2818,55379.65396,32286.86844,0,3867.500173,9343.970596,0,18919.35943,4438.991729,29431.49718,38996.90728,0,0
2025/3/30,123425.2818,55379.65396,32286.86844,0,3867.500173,9343.970596,0,18919.35943,4438.991729,29431.49718,38996.90728,0,0
2025/4/6,199291.205,89419.87353,52132.87201,0,12816.89979,30965.92875,0,62698.58198,14710.42046,97536.01383,129235.5541,0,0
2025/4/13,199291.205,89419.87353,52132.87201,0,12816.89979,30965.92875,0,62698.58198,14710.42046,97536.01383,129235.5541,0,0
2025/4/20,199291.205,89419.87353,52132.87201,0,12816.89979,30965.92875,0,62698.58198,14710.42046,97536.01383,129235.5541,0,0
2025/4/27,199291.205,89419.87353,52132.87201,0,12816.89979,30965.92875,0,62698.58198,14710.42046,97536.01383,129235.5541,0,0
2025/5/4,199291.205,89419.87353,52132.87201,10787,8118.659664,19614.87104,11809.80675,39715.41421,9317.952076,61782.62403,81862.02283,225000,0
2025/5/11,199291.205,89419.87353,52132.87201,10787,8118.659664,19614.87104,11809.80675,39715.41421,9317.952076,61782.62403,81862.02283,225000,0
2025/5/18,199291.205,89419.87353,52132.87201,10787,8118.659664,19614.87104,11809.80675,39715.41421,9317.952076,61782.62403,81862.02283,225000,0
2025/5/25,199291.205,89419.87353,52132.87201,10787,8118.659664,19614.87104,11809.80675,39715.41421,9317.952076,61782.62403,81862.02283,225000,0
2025/6/1,159432.9641,71535.89884,41706.29761,9836,7402.903946,17885.58854,10768.77397,36214.03639,8496.592795,56335.75616,74645.0723,120000,0
2025/6/8,159432.9641,71535.89884,41706.29761,9836,7402.903946,17885.58854,10768.77397,36214.03639,8496.592795,56335.75616,74645.0723,120000,0
2025/6/15,159432.9641,71535.89884,41706.29761,9836,7402.903946,17885.58854,10768.77397,36214.03639,8496.592795,56335.75616,74645.0723,120000,0
2025/6/22,159432.9641,71535.89884,41706.29761,9836,7402.903946,17885.58854,10768.77397,36214.03639,8496.592795,56335.75616,74645.0723,120000,0
2025/6/29,159432.9641,71535.89884,41706.29761,9836,7402.903946,17885.58854,10768.77397,36214.03639,8496.592795,56335.75616,74645.0723,120000,0
2025/7/6,245858.552,110314.1267,64314.83396,0,12223.1583,29531.43544,0,59794.10995,14028.91288,93017.66853,123248.7236,0,0
2025/7/13,245858.552,110314.1267,64314.83396,0,12223.1583,29531.43544,0,59794.10995,14028.91288,93017.66853,123248.7236,0,1
2025/7/20,245858.552,110314.1267,64314.83396,0,12223.1583,29531.43544,0,59794.10995,14028.91288,93017.66853,123248.7236,0,0
2025/7/27,245858.552,110314.1267,64314.83396,0,12223.1583,29531.43544,0,59794.10995,14028.91288,93017.66853,123248.7236,0,0
2025/8/3,196686.8416,88251.30136,51451.86718,16028.6,12063.52653,29145.76138,17547.83068,59013.26594,13845.69828,91802.87822,121639.1793,180000,0
2025/8/10,196686.8416,88251.30136,51451.86718,16028.6,12063.52653,29145.76138,17547.83068,59013.26594,13845.69828,91802.87822,121639.1793,180000,0
2025/8/17,196686.8416,88251.30136,51451.86718,16028.6,12063.52653,29145.76138,17547.83068,59013.26594,13845.69828,91802.87822,121639.1793,180000,0
2025/8/24,196686.8416,88251.30136,51451.86718,16028.6,12063.52653,29145.76138,17547.83068,59013.26594,13845.69828,91802.87822,121639.1793,180000,0
2025/8/31,196686.8416,88251.30136,51451.86718,16028.6,12063.52653,29145.76138,17547.83068,59013.26594,13845.69828,91802.87822,121639.1793,180000,0
2025/9/7,245858.552,110314.1267,64314.83396,18070.5,13600.32458,32858.70127,19783.47022,66530.97852,15609.69349,103497.8401,137134.8324,175000,0
2025/9/14,245858.552,110314.1267,64314.83396,18070.5,13600.32458,32858.70127,19783.47022,66530.97852,15609.69349,103497.8401,137134.8324,175000,0
2025/9/21,245858.552,110314.1267,64314.83396,18070.5,13600.32458,32858.70127,19783.47022,66530.97852,15609.69349,103497.8401,137134.8324,175000,0
2025/9/28,245858.552,110314.1267,64314.83396,18070.5,13600.32458,32858.70127,19783.47022,66530.97852,15609.69349,103497.8401,137134.8324,175000,0
2025/10/5,268846.9741,120628.7657,70328.20847,25851,19456.28819,47006.84591,28302.17703,95177.69157,22330.6262,148061.4521,196181.7322,225000,1
2025/10/12,268846.9741,120628.7657,70328.20847,25851,19456.28819,47006.84591,28302.17703,95177.69157,22330.6262,148061.4521,196181.7322,225000,0
2025/10/19,268846.9741,120628.7657,70328.20847,25851,19456.28819,47006.84591,28302.17703,95177.69157,22330.6262,148061.4521,196181.7322,225000,0
2025/10/26,268846.9741,120628.7657,70328.20847,25851,19456.28819,47006.84591,28302.17703,95177.69157,22330.6262,148061.4521,196181.7322,225000,0
2025/11/2,215077.5793,96503.01252,56262.56677,21707.6,16337.77627,39472.4484,23765.17214,79922.24127,18751.53856,124329.7207,164737.3195,120000,0
2025/11/9,215077.5793,96503.01252,56262.56677,21707.6,16337.77627,39472.4484,23765.17214,79922.24127,18751.53856,124329.7207,164737.3195,120000,0
2025/11/16,215077.5793,96503.01252,56262.56677,21707.6,16337.77627,39472.4484,23765.17214,79922.24127,18751.53856,124329.7207,164737.3195,120000,1
2025/11/23,215077.5793,96503.01252,56262.56677,21707.6,16337.77627,39472.4484,23765.17214,79922.24127,18751.53856,124329.7207,164737.3195,120000,1
