week,region,bing_spend,google_non_brand_spend,google-search-brand_spend,fb-ig_spend,twitter_spend,youtube_spend,tiktok_spend,amg_spend,SB_spend,SD_spend,SPA_spend,SPA_brand_spend,SB_brand_spend,SD_brand_spend,bing_impression,google_non_brand_impression,google-search-brand_impression,fb-ig_impression,twitter_impression,youtube_impression,tiktok_impression,amg_impression,SB_impression,SD_impression,SPA_impression,SPA_brand_impression,SB_brand_impression,SD_brand_impression,total_rev,dtc_rev,amz_rev
2022/12/25,DBNX,105,1595,3478,573,0,0,0,1062,0,317,0,0,0,92,11285,229168,51286,99908,0,0,0,379850,0,131253,0,0,0,13299,332414.45,43196.26,289218.19
2022/12/25,ANZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,10131.61,711.56,9420.05
2022/12/25,US_Anker,147,1132,1091,0,0,0,0,5986,102,760,0,0,0,0,25550,239449,13500,0,0,0,0,1348168,12096,190113,0,0,0,0,905908.28,21956.55,883951.73
2022/12/25,US_Eufy,204,0,6603,1317,0,0,0,2091,355,468,0,0,0,0,43093,0,282618,207250,0,0,0,211127,41761,65416,0,0,0,0,625003.04,79474.87,545528.17
2022/12/25,UK_IE,209,1765,2220,596,0,0,0,1596,0,64,0,0,0,0,21241,291369,20594,106151,0,0,0,434779,0,7282,0,0,0,0,315454.53,37613.17,277841.36
2022/12/25,GLOBAL_PPS-Other,0,0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,56291,0,0,0,0,0,0,0
2022/12/25,Spark,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0,0,0,0,86010.12,481.71,85528.41
2022/12/25,Other,0,666,20,26,0,0,0,0,28,156,0,0,0,0,0,36741,800,2687,0,0,0,0,1356,67482,0,0,0,0,8573.11,5312.94,3260.17
2022/12/25,GLOBAL_PPS-EU,55,521,657,1641,0,0,0,1379,0,152,0,0,0,18,14068,110018,6603,714467,0,25,0,668856,0,28953,0,0,0,3550,51619.31,19574.19,32045.12
2022/12/25,CA,0,0,307,0,0,0,0,115,6,51,0,0,0,0,0,0,4438,0,0,0,0,18036,3099,20614,0,0,0,0,118876.25,5885.18,112991.07
2022/12/25,MEA,0,0,0,0,0,0,0,0,0,734,0,0,0,0,0,0,0,0,0,0,0,0,0,17937,0,0,0,0,34356.67,0,0
2022/12/25,US_Soundcore,0,561,562,0,0,0,0,2660,69,1182,0,0,0,85,0,84958,4314,0,0,0,0,283798,7266,249781,0,0,0,11202,274735.83,6542.61,268193.22
2022/12/25,GLOBAL_PPS-US,5,722,500,1581,0,0,0,1014,0,353,0,0,0,0,158,109172,5664,474028,0,32,0,172528,0,29021,0,0,0,0,68226.2,16686.91,51539.29
2023/1/1,GLOBAL_PPS-Other,0,0,0,0,0,0,0,5288,0,7289,0,0,0,0,0,0,0,0,0,0,0,2902430,0,1131935,0,0,0,0,0,0,0
2023/1/1,MEA,0,0,0,0,0,0,0,0,0,3945,0,0,0,0,0,0,0,0,0,0,0,0,0,138455,0,0,0,0,215817.23,0,0
2023/1/1,GLOBAL_PPS-EU,410,8303,5357,6450,0,6080,0,8605,0,1062,0,0,0,133,106353,865363,58789,2325170,0,1074622,0,5335649,0,191267,0,0,0,17001,293767.51,105027.32,188740.19
