geo,population,week,spa_spend,sb_spend,sd_spend,bing_spend,youtube_spend,pmax_spend,shopping_spend,search_spend,sa_spend,display_spend,demandgen_spend,fb-ig_spend,twitter_spend,tiktok_spend,dsp_spend,promotion,amz_rev,dtc_rev,total_rev,spa_impressions,sb_impressions,sd_impressions,bing_impressions,youtube_impressions,pmax_impressions,shopping_impressions,search_impressions,sa_impressions,display_impressions,demandgen_impressions,fb-ig_impressions,twitter_impressions,tiktok_impressions,dsp_impressions,google_search_index
de,84207449,2023-06-11,3773.62,1084.4,0,261.76,1866.23,25200.16,0,47338.59,0,0,0,64089.52,0,5946.26,1.09,0,49190.0754,1221636.47,1270826.546,318061,210507,0,1381,765486,1734231,0,917209,0,0,0,8186847,0,1296676,188,19
de,84207449,2023-06-18,3724.47,1392.21,0,239.29,4860.9,37642.63,0,65943.88,0,0,0,65031.85,0,940.1,774.65,0,85629.1132,1056805.989,1142435.102,292052,198179,0,1390,1339678,1122599,0,2678107,0,0,0,8156131,0,195813,194103,18
de,84207449,2023-06-25,4678.29,2489.55,0,428.43,2031.52,58121.62,0,88839.21,0,0,0,107123.26,0,0,5598.88,0,103581.7344,1209915.2,1313496.934,448067,318703,0,1760,117046,2765363,0,585752,0,0,0,12055401,0,0,1725025,17
de,84207449,2023-07-02,5055.89,2575.75,0,346.09,0,57808.98,0,69599.53,0,0,0,58057.05,0,0,8358.71,0,92798.203,1333119.42,1425917.623,361899,322082,0,2055,0,3446164,0,492518,0,0,0,7126449,0,0,2668794,19
de,84207449,2023-07-09,14062.99,8007.96,1263.41,241.23,0,57612.06,0,64531.84,0,0,0,52634.11,0,0,19783.04,1,534243.5344,1279290.211,1813533.746,841081,765122,127220,2523,0,3688200,0,450428,0,0,0,6047893,0,0,3241576,21
de,84207449,2023-07-16,3683.46,1537.92,159,347.39,0,53820.73,0,47885.2,0,0,0,41921.46,0,0,4292.23,0,40203.6264,1124572.799,1164776.425,294242,150417,37350,2091,0,3576252,0,361906,0,0,0,5678692,0,0,1519690,18
de,84207449,2023-07-23,3458.44,1428.77,125.23,204.05,0,33477.76,0,57946.82,0,0,0,23527,0,0,2843.45,0,68610.4375,566546.9017,635157.3392,332795,148041,23210,1972,0,2208163,0,393565,0,0,0,3589876,0,0,1240830,14
de,84207449,2023-07-30,2872.42,1163.11,124.34,139.91,0,38897.53,0,46188.34,0,0,0,29790.08,0,0,3144.44,0,80303.5611,631982.9968,712286.5579,269048,152491,21908,1830,0,5209063,0,251276,0,0,0,4222252,0,0,1572209,13
de,84207449,2023-08-06,3993.16,1302.75,22.81,187.8,0,19333.65,0,40809.39,0,0,0,41556.17,0,0,3359.44,0,52491.9069,350704.6585,403196.5654,400192,180153,3875,1770,0,2209431,0,253930,0,0,0,5430647,0,0,1612367,13
de,84207449,2023-08-13,7127.61,1682.99,0,346.12,0,25293.83,0,40074.52,0,0,0,71717.58,0,0,5181.61,0,140923.0794,567624.2996,708547.379,595154,146956,0,2396,0,2300239,0,340730,0,0,0,9302532,0,0,1815843,15
de,84207449,2023-08-20,5483.1,1720.27,0,323.42,0,44364.75,0,49556.48,0,0,0,91569.18,0,0,6076.4,0,120744.2434,644863.1629,765607.4063,346786,195262,0,3807,0,2949429,0,322045,0,0,0,10113861,0,0,1780454,20
de,84207449,2023-08-27,6549.83,2135.74,0,287.06,0,32821.26,0,35680.09,0,0,0,75070.37,0,0,6371.04,0,124071.6081,659694.7168,783766.3249,550529,265109,0,3919,0,2158182,0,240520,0,0,0,7505189,0,0,1512734,15
de,84207449,2023-09-03,5246.81,1402.85,0,263.59,0,26543.27,0,34190.82,0,0,0,62581.12,0,0,6853.68,0,108417.7936,967591.9795,1076009.773,473148,248631,0,3554,0,1423054,0,238721,0,0,0,5998878,0,0,2252522,18
de,84207449,2023-09-10,3281.01,1262.1,0,280.75,0,20252.62,0,36920.34,0,0,0,49266.39,0,0,7785.46,0,64631.1704,414342.1729,478973.3433,407758,191797,0,3748,0,1488476,0,180913,0,0,0,4476820,0,0,2896176,16
de,84207449,2023-09-17,2674.45,1093.64,0,193.5,0,17093.27,0,32727.14,0,0,0,54188.36,0,0,3803.98,0,35278.1692,361716.9721,396995.1413,417512,143262,0,3841,0,1061223,0,178922,0,0,0,5039510,0,0,1390420,17
de,84207449,2023-09-24,2778.25,1379.44,0,330.46,0,22873.62,0,33780.76,0,0,0,75523.28,0,0,6940.82,0,135731.5495,440449.2592,576180.8087,383020,198407,0,4227,0,1566376,0,181862,0,0,0,6003323,0,0,2428277,20
de,84207449,2023-10-01,3108.26,1986.98,0,202.69,0,14551.23,0,35691.9,0,0,0,73831.66,0,0,12560.81,0,112645.6476,341997.3601,454643.0077,208989,268613,0,4511,0,1315647,0,190977,0,0,0,5799482,0,0,4582676,18
de,84207449,2023-10-08,7895.88,4426.21,469.97,289.68,0,15467.39,0,38357.04,0,0,0,73928.41,0,0,35581.48,1,468963.699,531847.6037,1000811.303,737418,336061,34407,5280,0,1210228,0,222177,0,0,0,6225397,0,0,9720817,15
de,84207449,2023-10-15,1006,836.3,52.52,277.42,0,10212.08,0,29119.98,0,0,0,36259.23,0,0,4.82,0,54789.8243,178442.2553,233232.0796,50256,143794,7513,3410,0,794563,0,184111,0,0,0,3209979,0,0,774,16
de,84207449,2023-10-22,1265.52,860.89,50.05,367.26,0,5047.22,0,18573.79,0,0,0,38978.92,0,0,0,0,49600.3189,139318.8836,188919.2025,100690,128885,8460,3212,0,182464,0,132514,0,0,0,3418832,0,0,0,11
de,84207449,2023-10-29,3452.03,1257.28,42.61,71.8,0,10130.73,0,25209.84,0,0,0,61689.63,0,0,1094.74,0,101630.4108,634444.9016,736075.3124,247038,160237,10916,475,0,520523,0,148420,0,0,0,4406900,0,0,660939,15
de,84207449,2023-11-05,1694.06,1277.34,17.21,0,0,20452.94,0,39918.15,0,0,0,47742.05,0,0,2274.09,0,118706.1474,703770.3137,822476.4611,120105,129374,2775,0,0,1012871,0,247187,0,0,0,3661001,0,0,1008254,13
de,84207449,2023-11-12,7072.8,3358.59,244.59,0,0,11977.26,0,49230.66,0,0,0,54611.96,0,13007.02,14622.71,1,251342.5489,580326.8677,831669.4166,533589,306648,15399,0,0,792066,0,256186,0,0,0,3787913,0,4281617,4122101,16
de,84207449,2023-11-19,7332.69,4761.21,690.68,559.59,0,23677.95,0,62412.34,0,0,0,107749.09,0,17982.07,29810.16,1,409528.2213,988217.4504,1397745.672,739942,439698,28737,3905,0,1292638,0,298862,0,0,0,6823226,0,5916255,4629499,17
de,84207449,2023-11-26,4018.05,2096.46,109.76,583.38,0,18277.92,0,39457.32,0,0,0,81592.07,0,11207.99,7246.01,1,150945.6641,655746.502,806692.1661,284973,219568,11026,4063,0,978454,0,197281,0,0,0,6806745,0,3125074,732545,14
de,84207449,2023-12-03,1789.17,1029.59,12.07,773.75,0,5866.5,0,10627.9,0,0,0,5164.86,0,152.92,0,0,39620.767,173844.5989,213465.3659,119668,166735,1316,3196,0,335768,0,26118,0,0,0,474243,0,43398,0,7
de,84207449,2023-12-10,5866.42,2144.63,333.27,688.99,0,12196.13,0,20327.54,0,0,0,21755.66,0,0,0,0,142439.1119,380867.163,523306.2749,726630,235456,52917,3938,0,695142,0,69967,0,0,0,1900351,0,0,0,9
de,84207449,2023-12-17,4683.2,2112.04,17.83,269.74,0,19536.58,0,15795.8,0,0,0,22903.91,0,0,0,0,90185.6766,277636.3502,367822.0268,593634,237067,2892,3601,0,1708545,0,59663,0,0,0,2244168,0,0,0,11
de,84207449,2023-12-24,3812.6,2303.37,75.31,177.36,0,16702.07,0,14527.6,0,0,0,10603.49,0,0,0,0,87329.6368,436788.7251,524118.3619,499098,221724,6969,3030,0,1515643,0,50733,0,0,0,1280175,0,0,0,12
de,84207449,2023-12-31,1459.98,1156.96,2.68,262.55,0,13563.08,0,12496.82,0,0,0,8807.53,0,0,0,0,60438.5001,425397.0351,485835.5352,140972,124513,134,3599,0,1139705,0,47790,0,0,0,1388177,0,0,0,11
de,84207449,2024-01-07,1092.67,902.91,0,306.1,0,12967.82,0,12309.28,0,0,0,5292.01,0,0,0,0,24051.5548,182881.6717,206933.2265,117965,112204,0,4064,0,1319403,0,52270,0,0,0,775396,0,0,0,11
