week,spa,sb,sd,google_youtube,bing,google_without_youtube,others,fb-ig,twitter,tiktok,dsp,fincast,promotion,amazon search volume,google search index,amazon search index,sales_revenue,amz_search_without_keywords,amz_rev,dtc_rev,total_rev
2022/2/6,90912.99,26913.97,2463.53,5065.29,1772.86,28421.39,0,8291.6,1511.97,580.65,55971.87,0,0,1069453,37,12.88558126,11902198.43,560423,6112115.4,162489.31,6274604.71
2022/2/13,89819.67,25612.39,2018.55,11850.41,2261.65,29433.71,0,9142.68,1266.96,532.08,61144.4,0,0,1008080,41,11.81330139,11764134.06,743820,6180729.07,173070.79,6353799.86
2022/2/20,97332.61,26111.38,2298.98,10342.03,1959.08,29480.79,0,16700.94,1714.69,1997.05,62861.27,0,0,781254,40,7.850305376,12195283.87,583870,6285100.499,200608.2,6485708.699
2022/2/27,97122.58,26391.22,3005.02,7119.19,1773.18,22209.05,0,14592.06,1444.21,2261,45351.85,0,0,1474048,37,19.9544727,12924388.14,554503,7043818.429,148573.67,7192392.099
2022/3/6,93209.01,25492.19,3736.52,5601.46,1268.05,32725.51,0,17107.45,2116.96,67.77,66077.28,0,0,854972,39,9.138271217,12054443.93,571976,6284391.69,160847.55,6445239.24
2022/3/13,79048.15,25615.88,4519.4,0,1153.38,32837.4,0,24471.71,2526.44,0,61302.3,0,0,866414,38,9.3381804,11816000.81,544147,5946726.77,190796.64,6137523.41
2022/3/20,74395.64,21182.17,5339.95,0,1292.87,34190.74,0,37780.76,3303.27,0,72581.68,0,0,827699,39,8.66177033,12755919.18,573098,6067280.49,231328.25,6298608.74
2022/3/27,63227.59,19769.57,4906.89,0,1092.45,26944.11,0,40715.16,4644.32,0,61648.11,0,0,864259,34,9.300529265,12240019.07,573623,6179504.24,204707.76,6384212
2022/4/3,69150.19,21964.69,4939.15,0,1015.38,15735.12,0,33500.73,3848.11,0,24185.83,0,0,1347453,39,17.74266506,11659263.63,575927,6024088.85,166113.57,6190202.42
2022/4/10,74844.77,20625.38,5175.48,0,1019.67,19487.24,0,35358.4,5739.07,0,55724.74,0,0,909647,40,10.09352682,11286793.3,614435,6159466.28,192121.8,6351588.08
2022/4/17,69571.39,22886,6621.74,0,880.49,23265.76,0,29361.03,6455.18,0,67037.28,0,0,933508,37,10.51041486,11489012.45,597570,6075166.06,210139.25,6285305.31
2022/4/24,72570.82,21224.99,6791.91,0,881.21,20575.73,0,26579.46,8746.32,0,71685.64,0,0,1397443,39,18.61606657,11463527.06,715750,5938743.51,179926.19,6118669.7
2022/5/1,80593.22,15335.44,4292.49,0,802.07,15695.42,0,30123.9,8609.96,0,61932.78,0,0,1520250,36,20.76169208,11083921.85,575074,6120099.03,179691.83,6299790.86
2022/5/8,91837.29,17157.94,4550.39,0,761.36,24106.05,0,39738.05,14215.56,0,56321.86,0,0,887004,40,9.697919089,11285614.19,604489,5966538.93,262239.44,6228778.37
2022/5/15,77050.28,16858.79,4268.23,689.15,1056.66,28648.93,0,36297.49,13800.52,0,64517.48,0,0,910138,37,10.10210534,11362481.25,610155,5829104,228960.02,6058064.02
2022/5/22,90693.72,17450.66,5518.26,5031.31,1301.7,26005.8,0,40437.73,14075.54,0,63178.09,0,0,922122,40,10.31148409,11766962.13,599659,5905120.48,204669.43,6109789.91
2022/5/29,99618.07,18036.23,6173.87,6109.15,1514.22,28291.92,0,24486.92,14183.37,0,60648.71,0,0,923846,40,10.34160499,11648773.46,583544,6014319.26,213586.33,6227905.59
2022/6/5,98309.92,18075.25,5825.66,5612.1,1884.33,21264.29,0,15549.75,10972.88,0,60744.46,0,0,937399,43,10.57839656,11646186.92,584120,6088676.52,187717.1,6276393.62
2022/6/12,103693.59,19753.71,7307.76,3248.78,2007.59,24488.34,0,13761.84,11001.04,0,84642.5,0,0,950142,40,10.8010362,11856482.17,574731,5982929.56,212322.46,6195252.02
2022/6/19,116214.13,20506.75,7152.16,0,2221.05,26653.84,0,13624.93,22722.44,0,92489.22,0,0,909486,41,10.0907139,11419709.6,588217,6122358.18,174932.96,6297291.14
2022/6/26,104205.08,22157.55,7011.8,0,2167.74,27309.76,0,13623.36,21532.32,0,85506.43,0,0,913436,40,10.15972642,11486631.91,606871,6041519.65,247421.95,6288941.6
2022/7/3,73895.56,18064.9,5594.4,0,2747.02,38472.47,0,12539.69,19090.16,0,50415.29,0,0,953168,38,10.85390503,10700736.56,602046,5722123.26,214438.4,5936561.66
2022/7/10,90779.53,24270.01,8110.61,0,4690.99,34863.78,0,23947.21,18251.24,0,125597.02,0,1,949717,49,10.7936108,25875617.85,1734983,12732304.39,227253.17,12959557.56
2022/7/17,61420.29,17178.67,4905.23,0,3986.26,25207.77,0,22185.22,47964.91,0,63046.6,0,0,4118754,40,66.1615183,10846613.23,615746,5979393.08,217523.59,6196916.67
2022/7/24,80876.23,13512.57,3832.03,791.54,3947.27,16297.35,0,94425.4,81751.39,0,77898.11,0,0,946857,45,10.74364224,12232487.27,888652,6246157.95,465752.11,6711910.06
